ano,id_municipio,quantidade_escolas
2019,1506583,24
2019,1506708,33
2019,1506807,495
2019,1506906,17
2019,1507003,61
2019,1507102,35
2019,1507151,35
2019,1507201,89
2019,1507300,117
2019,1507458,42
2019,1507474,34
2019,1507607,90
2019,1507706,41
2019,1507755,8
2019,1507805,34
2019,1507904,25
2019,1507953,76
2019,1508001,101
2019,1508035,63
2019,1508084,24
2019,1508100,69
2019,1508126,35
2019,1508159,85
2019,1508209,91
2019,1508308,131
2019,1508357,26
2019,1508407,41
2019,1600105,22
2019,1600154,28
2019,1600238,14
2019,1600253,28
2019,1600279,71
2019,1600303,308
2019,1600402,74
2019,1600501,50
2019,1600535,31
2019,1600600,83
2019,1600709,45
2019,1700251,5
2019,1700301,4
2019,1702109,143
2019,1702901,26
2019,1703008,9
2019,1703206,6
2019,1703701,6
2019,1703842,11
2019,1703883,4
2019,1704600,2
2019,1705508,29
2019,1706001,8
2019,1707405,15
2019,1708205,22
2019,1709500,62
2019,1710706,12
2019,1711506,7
2019,1711902,18
2019,1712009,4
2019,1712504,6
2019,1713205,22
2019,1713700,5
2019,1714203,11
2019,1714880,13
2019,1716109,34
2019,1716208,23
2019,1716604,11
2019,1716653,6
2019,1717503,7
2019,1717800,8
2019,1718204,56
2019,1718303,15
2019,1718550,3
2019,1718758,9
2019,1718865,15
2019,1718899,5
2019,1719004,3
2019,1720200,16
2019,1720499,6
2019,1720903,12
2019,1720978,6
2019,1721000,154
2019,1721208,35
2019,2100055,105
2019,2100105,24
2019,2100204,51
2019,2100303,52
2019,2100436,35
2019,2100477,64
2019,2100550,17
2019,2100600,117
2019,2100709,42
2019,2100808,33
2019,2100873,24
2019,2100907,80
2019,2100956,115
2019,2101004,66
2019,2101103,21
2019,2101202,133
2019,2101251,26
2019,2101301,33
2019,2101350,18
2019,2101400,92
2019,2101509,34
2019,2101608,186
2019,2101707,151
2019,2101772,21
2019,2101905,38
2019,2102002,107
2019,2102036,57
2019,2102077,28
2019,2102101,75
2019,2102150,32
2019,2102200,74
2019,2102309,51
2019,2102325,90
2019,2102358,30
2019,2102374,27
2019,2102408,32
2019,2102507,58
2019,2102556,17
2019,2102804,53
2019,2102903,40
2019,2103000,261
2019,2103109,19
2019,2103125,23
2019,2103158,32
2019,2103174,53
2019,2103208,148
2019,2103257,24
2019,2103307,191
2019,2103406,49
2019,2103505,64
2019,2103554,38
2019,2103604,88
2019,2103703,58
2019,2103752,18
2019,2103901,32
2019,2104008,37
2019,2104057,39
2019,2104073,11
2019,2104081,36
2019,2104099,29
2019,2104107,20
2019,2104206,29
2019,2104404,49
2019,2104503,26
2019,2104602,45
2019,2104628,14
2019,2104651,38
2019,2104677,36
2019,2104701,13
2019,2104800,216
2019,2104909,23
2019,2105005,81
