ano,id_municipio,numero_obitos
2019,2211001,5257
2019,2211100,245
2019,2211209,132
2019,2211308,187
2019,2211357,18
2019,2211407,26
2019,2211506,22
2019,2211605,19
2019,2211704,24
2019,4200051,24
2019,4200101,99
2019,4200200,71
2019,4200309,34
2019,4200408,44
2019,4200507,37
2019,4200556,20
2019,4200606,46
2019,4200705,77
2019,4200754,13
2019,4200804,41
2019,4200903,44
2019,4201000,67
2019,4201109,19
2019,4201208,39
2019,4201257,54
2019,4201273,27
2019,4201307,175
2019,4201406,387
2019,4201505,50
2019,4201604,20
2019,4201653,10
2019,4201703,48
2019,4201802,27
2019,4201901,36
2019,4201950,117
2019,4202008,737
2019,4202057,99
2019,4202073,90
2019,4202081,25
2019,4202099,16
2019,4202107,231
2019,4202131,30
2019,4202156,15
2019,4202206,83
2019,4202305,427
2019,4202404,1930
2019,4202438,24
2019,4202453,75
2019,4202503,28
2019,4202537,12
2019,4202578,14
2019,4202602,40
2019,4202701,34
2019,4202800,202
2019,4202859,28
2019,4202875,24
2019,4202909,684
2019,4203006,457
2019,4203105,41
2019,4203154,14
2019,4203204,402
2019,4203253,9
2019,4203303,92
2019,4203402,56
2019,4203501,71
2019,4203600,262
2019,4203709,81
2019,4203808,386
2019,4203907,134
2019,4203956,157
2019,4204004,57
2019,4204103,33
2019,4204152,14
2019,4204178,29
2019,4204194,11
2019,4204202,1033
2019,4204251,82
2019,4204301,455
2019,4204350,31
2019,4204400,73
2019,4204459,14
2019,4204509,120
2019,4204558,122
2019,4204608,1204
2019,4204707,84
2019,4204756,15
2019,4204806,312
2019,4204905,69
2019,4205001,106
2019,4205100,27
2019,4205159,27
2019,4205175,22
2019,4205191,19
2019,4205209,33
2019,4205308,66
2019,4205357,9
2019,4205407,2493
2019,4205431,20
2019,4205456,115
2019,4205506,213
2019,4205555,15
2019,4205605,12
2019,4205704,135
2019,4205803,100
2019,4205902,324
2019,4206009,105
2019,4206108,38
2019,4206207,80
2019,4206306,105
2019,4206405,75
2019,4206504,212
