id_municipio,ano,familias_beneficiarias
1400027,2019,1407
1400050,2019,2171
1400100,2019,19808
1400159,2019,2300
1400175,2019,2490
1400209,2019,3287
1400233,2019,1400
1400282,2019,1352
1400308,2019,3400
1400407,2019,1785
1400456,2019,1530
1400472,2019,3325
1400506,2019,834
1400605,2019,993
1400704,2019,1339
1500107,2019,34342
1500131,2019,1180
1500206,2019,11257
1500305,2019,6865
1500347,2019,2666
1500404,2019,11365
1500503,2019,5536
1500602,2019,10933
1500701,2019,5188
1500800,2019,33172
1500859,2019,5388
1500909,2019,7870
1500958,2019,3953
1501006,2019,2033
1501105,2019,3608
1501204,2019,6316
1501253,2019,380
1501303,2019,14411
1501402,2019,120669
1501451,2019,2742
1501501,2019,10399
1501576,2019,2040
1501600,2019,1941
1501709,2019,15709
1501725,2019,2603
1501758,2019,1007
1501782,2019,6904
1501808,2019,16947
1501907,2019,5448
1501956,2019,4302
1502004,2019,4632
1502103,2019,19887
1502152,2019,3819
1502202,2019,7268
1502301,2019,7739
1502400,2019,13514
1502509,2019,3175
1502608,2019,1867
1502707,2019,3391
1502756,2019,5247
1502764,2019,1275
1502772,2019,3122
1502806,2019,5553
1502855,2019,2193
1502905,2019,8463
1502939,2019,4261
1502954,2019,3418
1503002,2019,1736
1503044,2019,2248
1503077,2019,4762
1503093,2019,3218
1503101,2019,5989
1503200,2019,6463
1503309,2019,10143
1503408,2019,1764
1503457,2019,5858
1503507,2019,6452
1503606,2019,12687
1503705,2019,6218
1503754,2019,2501
1503804,2019,7284
1503903,2019,5570
1504000,2019,5288
1504059,2019,6379
1504109,2019,1181
1504208,2019,15281
1504307,2019,6081
1504406,2019,4064
1504422,2019,13734
1504455,2019,4392
1504505,2019,4132
1504604,2019,6608
1504703,2019,15657
1504752,2019,3297
1504802,2019,9518
1504901,2019,6723
1504950,2019,4368
1504976,2019,1437
1505007,2019,2324
1505031,2019,1605
1505064,2019,6073
1505106,2019,6320
1505205,2019,6274
1505304,2019,8286
1505403,2019,3491
1505437,2019,4034
1505486,2019,7339
1505494,2019,1490
1505502,2019,9884
1505536,2019,9600
1505551,2019,976
1505601,2019,1074
1505635,2019,1382
1505650,2019,2976
1505700,2019,4963
1505809,2019,7603
1505908,2019,5908
1506005,2019,7640
1506104,2019,1911
1506112,2019,2340
1506138,2019,5711
1506161,2019,1295
1506187,2019,3596
1506195,2019,3996
1506203,2019,4092
1506302,2019,4665
1506351,2019,2548
1506401,2019,1838
1506500,2019,6431
1506559,2019,4361
1506583,2019,2340
1506609,2019,3561
1506708,2019,4665
1506807,2019,28084
1506906,2019,1936
1507003,2019,4184
1507102,2019,2721
1507151,2019,3102
1507201,2019,5248
1507300,2019,7336
1507409,2019,2576
1507458,2019,3084
1507466,2019,1111
1507474,2019,3237
1507508,2019,2373
1507607,2019,8322
1507706,2019,5224
1507755,2019,456
1507805,2019,3425
1507904,2019,3822
1507953,2019,8650
1507961,2019,2593
1507979,2019,2703
1508001,2019,9422
